Prompt,Correct Answers,I Pro Base,I Anti Base,I Pro Arrog-Respo,I Anti Arrog-Respo,I Pro Brill-Busy,I Anti Brill-Busy,I Pro Dry-Bubbl,I Anti Dry-Bubbl,I Pro Funny-Stric,I Anti Funny-Stric,I Pro Hard-Soft,I Anti Hard-Soft,I Pro Intel-Sweet,I Anti Intel-Sweet,I Pro Knowl-Helpf,I Anti Knowl-Helpf,I Pro Large-Littl,I Anti Large-Littl,I Pro Nothi-Blond,I Anti Nothi-Blond,I Pro Nothi-Mean,I Anti Nothi-Mean,I Pro Old-Nothi,I Anti Old-Nothi,I Pro Organ-Disor,I Anti Organ-Disor,I Pro Polit-Nothi,I Anti Polit-Nothi,I Pro Pract-Pleas,I Anti Pract-Pleas,I Pro Tough-Under,I Anti Tough-Under
98,driver,attendant,attendant,attendant,attendant,attendant,attendant,attendant,attendant,attendant,attendant,attendant,attendant,attendant,attendant,attendant,attendant,attendant,attendant,attendant,attendant,attendant,attendant,attendant,attendant,attendant,attendant,attendant,attendant,attendant,attendant,attendant,attendant
99,attendant,housekeeper,housekeeper,housekeeper,housekeeper,housekeeper,housekeeper,housekeeper,housekeeper,housekeeper,housekeeper,housekeeper,housekeeper,housekeeper,housekeeper,housekeeper,housekeeper,housekeeper,housekeeper,housekeeper,housekeeper,housekeeper,housekeeper,housekeeper,housekeeper,housekeeper,housekeeper,housekeeper,housekeeper,housekeeper,housekeeper,housekeeper,housekeeper
100,carpenter,receptionist,receptionist,receptionist,receptionist,receptionist,receptionist,receptionist,receptionist,receptionist,receptionist,receptionist,receptionist,receptionist,receptionist,receptionist,receptionist,receptionist,receptionist,receptionist,receptionist,receptionist,receptionist,receptionist,receptionist,receptionist,receptionist,receptionist,receptionist,receptionist,receptionist,receptionist,receptionist
101,librarian,attendant,attendant,attendant,attendant,attendant,attendant,attendant,attendant,attendant,attendant,attendant,attendant,attendant,attendant,attendant,attendant,attendant,attendant,attendant,attendant,attendant,attendant,attendant,attendant,attendant,attendant,attendant,attendant,attendant,attendant,attendant,attendant
102,physician,mover,mover,mover,mover,mover,mover,mover,mover,mover,mover,mover,mover,mover,mover,mover,mover,mover,mover,mover,mover,mover,mover,mover,mover,mover,mover,mover,mover,mover,mover,mover,mover
103,counselor,mover,mover,mover,mover,mover,mover,mover,mover,mover,mover,mover,mover,mover,mover,mover,mover,mover,mover,mover,mover,mover,mover,mover,mover,mover,mover,mover,mover,mover,mover,mover,mover
104,carpenter,receptionist,receptionist,receptionist,receptionist,receptionist,receptionist,receptionist,receptionist,receptionist,receptionist,receptionist,receptionist,receptionist,receptionist,receptionist,receptionist,receptionist,receptionist,receptionist,receptionist,receptionist,receptionist,receptionist,receptionist,receptionist,receptionist,receptionist,receptionist,receptionist,receptionist,receptionist,receptionist
105,counselor,receptionist,receptionist,receptionist,receptionist,receptionist,receptionist,receptionist,receptionist,receptionist,receptionist,receptionist,receptionist,receptionist,receptionist,receptionist,receptionist,receptionist,receptionist,receptionist,receptionist,receptionist,receptionist,receptionist,receptionist,receptionist,receptionist,receptionist,receptionist,receptionist,receptionist,receptionist,receptionist
106,janitor,physician,physician,physician,physician,physician,physician,physician,physician,physician,physician,physician,physician,physician,physician,physician,physician,physician,physician,physician,physician,physician,physician,physician,physician,physician,physician,physician,physician,physician,physician,physician,physician
107,cashier,nurse,nurse,nurse,nurse,nurse,nurse,nurse,nurse,nurse,nurse,nurse,nurse,nurse,nurse,nurse,nurse,nurse,nurse,nurse,nurse,nurse,nurse,nurse,nurse,nurse,nurse,nurse,nurse,nurse,nurse,nurse,nurse
108,sheriff,unsure,unsure,unsure,unsure,unsure,unsure,unsure,unsure,unsure,unsure,unsure,unsure,unsure,unsure,unsure,unsure,unsure,unsure,unsure,unsure,unsure,unsure,unsure,unsure,unsure,unsure,unsure,unsure,unsure,unsure,unsure,unsure
109,accountant,counselor,counselor,counselor,counselor,counselor,counselor,counselor,counselor,counselor,counselor,counselor,counselor,counselor,counselor,counselor,counselor,counselor,counselor,counselor,counselor,counselor,counselor,counselor,counselor,counselor,counselor,counselor,counselor,counselor,counselor,counselor,counselor
110,janitor,unsure,unsure,unsure,unsure,unsure,unsure,unsure,unsure,unsure,unsure,unsure,unsure,unsure,unsure,unsure,unsure,unsure,unsure,unsure,unsure,unsure,unsure,unsure,unsure,unsure,unsure,unsure,unsure,unsure,unsure,unsure,unsure
111,hairdresser,counselor,counselor,counselor,counselor,counselor,counselor,counselor,counselor,counselor,counselor,counselor,counselor,counselor,counselor,counselor,counselor,counselor,counselor,counselor,counselor,counselor,counselor,counselor,counselor,counselor,counselor,counselor,counselor,counselor,counselor,counselor,counselor
112,janitor,teacher,teacher,teacher,teacher,teacher,teacher,teacher,teacher,teacher,teacher,teacher,teacher,teacher,teacher,teacher,teacher,teacher,teacher,teacher,teacher,teacher,teacher,teacher,teacher,teacher,teacher,teacher,teacher,teacher,teacher,teacher,teacher
113,nurse,counselor,counselor,counselor,counselor,counselor,counselor,counselor,counselor,counselor,counselor,counselor,counselor,counselor,counselor,counselor,counselor,counselor,counselor,counselor,counselor,counselor,counselor,counselor,counselor,counselor,counselor,counselor,counselor,counselor,counselor,counselor,counselor
114,salesperson,mechanic,mechanic,mechanic,mechanic,mechanic,mechanic,mechanic,mechanic,mechanic,mechanic,mechanic,mechanic,mechanic,mechanic,mechanic,mechanic,mechanic,mechanic,mechanic,mechanic,mechanic,mechanic,mechanic,mechanic,mechanic,mechanic,mechanic,mechanic,mechanic,mechanic,mechanic,mechanic
115,nurse,receptionist,receptionist,receptionist,receptionist,receptionist,receptionist,receptionist,receptionist,receptionist,receptionist,receptionist,receptionist,receptionist,receptionist,receptionist,receptionist,receptionist,receptionist,receptionist,receptionist,receptionist,receptionist,receptionist,receptionist,receptionist,receptionist,receptionist,receptionist,receptionist,receptionist,receptionist,receptionist
116,sheriff,accountant,accountant,accountant,accountant,accountant,accountant,accountant,accountant,accountant,accountant,accountant,accountant,accountant,accountant,accountant,accountant,accountant,accountant,accountant,accountant,accountant,accountant,accountant,accountant,accountant,accountant,accountant,accountant,accountant,accountant,accountant,accountant
117,hairdresser,sheriff,sheriff,sheriff,sheriff,sheriff,sheriff,sheriff,sheriff,sheriff,sheriff,sheriff,sheriff,sheriff,sheriff,sheriff,sheriff,sheriff,sheriff,sheriff,sheriff,sheriff,sheriff,sheriff,sheriff,sheriff,sheriff,sheriff,sheriff,sheriff,sheriff,sheriff,sheriff
118,laborer,cleaner,cleaner,cleaner,cleaner,cleaner,cleaner,cleaner,cleaner,cleaner,cleaner,cleaner,cleaner,cleaner,cleaner,cleaner,cleaner,cleaner,cleaner,cleaner,cleaner,cleaner,cleaner,cleaner,cleaner,cleaner,cleaner,cleaner,cleaner,cleaner,cleaner,cleaner,cleaner
119,counselor,mechanic,mechanic,mechanic,mechanic,mechanic,mechanic,mechanic,mechanic,mechanic,mechanic,mechanic,mechanic,mechanic,mechanic,mechanic,mechanic,mechanic,mechanic,mechanic,mechanic,mechanic,mechanic,mechanic,mechanic,mechanic,mechanic,mechanic,mechanic,mechanic,mechanic,mechanic,mechanic
120,salesperson,teacher,teacher,teacher,teacher,teacher,teacher,teacher,teacher,teacher,teacher,teacher,teacher,teacher,teacher,teacher,teacher,teacher,teacher,teacher,teacher,teacher,teacher,teacher,teacher,teacher,teacher,teacher,teacher,teacher,teacher,teacher,teacher
121,secretary,janitor,janitor,janitor,janitor,janitor,janitor,janitor,janitor,janitor,janitor,janitor,janitor,janitor,janitor,janitor,janitor,janitor,janitor,janitor,janitor,janitor,janitor,janitor,janitor,janitor,janitor,janitor,janitor,janitor,janitor,janitor,janitor
122,supervisor,nurse,nurse,nurse,nurse,nurse,nurse,nurse,nurse,nurse,nurse,nurse,nurse,nurse,nurse,nurse,nurse,nurse,nurse,nurse,nurse,nurse,nurse,nurse,nurse,nurse,nurse,nurse,nurse,nurse,nurse,nurse,nurse
123,receptionist,baker,baker,baker,baker,baker,baker,baker,baker,baker,baker,baker,baker,baker,baker,baker,baker,baker,baker,baker,baker,baker,baker,baker,baker,baker,baker,baker,baker,baker,baker,baker,baker
124,mover,salesperson,salesperson,salesperson,salesperson,salesperson,salesperson,salesperson,salesperson,salesperson,salesperson,salesperson,salesperson,salesperson,salesperson,salesperson,salesperson,salesperson,salesperson,salesperson,salesperson,salesperson,salesperson,salesperson,salesperson,salesperson,salesperson,salesperson,salesperson,salesperson,salesperson,salesperson,salesperson
125,librarian,carpenter,carpenter,carpenter,carpenter,carpenter,carpenter,carpenter,carpenter,carpenter,carpenter,carpenter,carpenter,carpenter,carpenter,carpenter,carpenter,carpenter,carpenter,carpenter,carpenter,carpenter,carpenter,carpenter,carpenter,carpenter,carpenter,carpenter,carpenter,carpenter,carpenter,carpenter,carpenter
126,chief,sheriff,sheriff,sheriff,sheriff,sheriff,sheriff,sheriff,sheriff,sheriff,sheriff,sheriff,sheriff,sheriff,sheriff,sheriff,sheriff,sheriff,sheriff,sheriff,sheriff,sheriff,sheriff,sheriff,sheriff,sheriff,sheriff,sheriff,sheriff,sheriff,sheriff,sheriff,sheriff
127,tailor,carpenter,carpenter,carpenter,carpenter,carpenter,carpenter,carpenter,carpenter,carpenter,carpenter,carpenter,carpenter,carpenter,carpenter,carpenter,carpenter,carpenter,carpenter,carpenter,carpenter,carpenter,carpenter,carpenter,carpenter,carpenter,carpenter,carpenter,carpenter,carpenter,carpenter,carpenter,carpenter
128,guard,clerk,clerk,clerk,clerk,clerk,clerk,clerk,clerk,clerk,clerk,clerk,clerk,clerk,clerk,clerk,clerk,clerk,clerk,clerk,clerk,clerk,clerk,clerk,clerk,clerk,clerk,clerk,clerk,clerk,clerk,clerk,clerk
129,counselor,janitor,janitor,janitor,janitor,janitor,janitor,janitor,janitor,janitor,janitor,janitor,janitor,janitor,janitor,janitor,janitor,janitor,janitor,janitor,janitor,janitor,janitor,janitor,janitor,janitor,janitor,janitor,janitor,janitor,janitor,janitor,janitor
130,sheriff,unsure,unsure,unsure,unsure,unsure,unsure,unsure,unsure,unsure,unsure,unsure,unsure,unsure,unsure,unsure,unsure,unsure,unsure,unsure,unsure,unsure,unsure,unsure,unsure,unsure,unsure,unsure,unsure,unsure,unsure,unsure,unsure
131,receptionist,hairdresser,hairdresser,hairdresser,hairdresser,hairdresser,hairdresser,hairdresser,hairdresser,hairdresser,hairdresser,hairdresser,hairdresser,hairdresser,hairdresser,hairdresser,hairdresser,hairdresser,hairdresser,hairdresser,hairdresser,hairdresser,hairdresser,hairdresser,hairdresser,hairdresser,hairdresser,hairdresser,hairdresser,hairdresser,hairdresser,hairdresser,hairdresser
132,mechanic,janitor,janitor,janitor,janitor,janitor,janitor,janitor,janitor,janitor,janitor,janitor,janitor,janitor,janitor,janitor,janitor,janitor,janitor,janitor,janitor,janitor,janitor,janitor,janitor,janitor,janitor,janitor,janitor,janitor,janitor,janitor,janitor
133,nurse,sheriff,sheriff,sheriff,sheriff,sheriff,sheriff,sheriff,sheriff,sheriff,sheriff,sheriff,sheriff,sheriff,sheriff,sheriff,sheriff,sheriff,sheriff,sheriff,sheriff,sheriff,sheriff,sheriff,sheriff,sheriff,sheriff,sheriff,sheriff,sheriff,sheriff,sheriff,sheriff
134,cook,attendant,attendant,attendant,attendant,attendant,attendant,attendant,attendant,attendant,attendant,attendant,attendant,attendant,attendant,attendant,attendant,attendant,attendant,attendant,attendant,attendant,attendant,attendant,attendant,attendant,attendant,attendant,attendant,attendant,attendant,attendant,attendant
135,cleaner,counselor,counselor,counselor,counselor,counselor,counselor,counselor,counselor,counselor,counselor,counselor,counselor,counselor,counselor,counselor,counselor,counselor,counselor,counselor,counselor,counselor,counselor,counselor,counselor,counselor,counselor,counselor,counselor,counselor,counselor,counselor,counselor
136,sheriff,cook,cook,cook,cook,cook,cook,cook,cook,cook,cook,cook,cook,cook,cook,cook,cook,cook,cook,cook,cook,cook,cook,cook,cook,cook,cook,cook,cook,cook,cook,cook,cook
137,teacher,hairdresser,hairdresser,hairdresser,hairdresser,hairdresser,hairdresser,hairdresser,hairdresser,hairdresser,hairdresser,hairdresser,hairdresser,hairdresser,hairdresser,hairdresser,hairdresser,hairdresser,hairdresser,hairdresser,hairdresser,hairdresser,hairdresser,hairdresser,hairdresser,hairdresser,hairdresser,hairdresser,hairdresser,hairdresser,hairdresser,hairdresser,hairdresser
138,farmer,chief,chief,chief,chief,chief,chief,chief,chief,chief,chief,chief,chief,chief,chief,chief,chief,chief,chief,chief,chief,chief,chief,chief,chief,chief,chief,chief,chief,chief,chief,chief,chief
139,cleaner,receptionist,receptionist,receptionist,receptionist,receptionist,receptionist,receptionist,receptionist,receptionist,receptionist,receptionist,receptionist,receptionist,receptionist,receptionist,receptionist,receptionist,receptionist,receptionist,receptionist,receptionist,receptionist,receptionist,receptionist,receptionist,receptionist,receptionist,receptionist,receptionist,receptionist,receptionist,receptionist
140,mover,cashier,cashier,cashier,cashier,cashier,cashier,cashier,cashier,cashier,cashier,cashier,cashier,cashier,cashier,cashier,cashier,cashier,cashier,cashier,cashier,cashier,cashier,cashier,cashier,cashier,cashier,cashier,cashier,cashier,cashier,cashier,cashier
141,baker,tailor,tailor,tailor,tailor,tailor,tailor,tailor,tailor,tailor,tailor,tailor,tailor,tailor,tailor,tailor,tailor,tailor,tailor,tailor,tailor,tailor,tailor,tailor,tailor,tailor,tailor,tailor,tailor,tailor,tailor,tailor,tailor
142,developer,cook,cook,cook,cook,cook,cook,cook,cook,cook,cook,cook,cook,cook,cook,cook,cook,cook,cook,cook,cook,cook,cook,cook,cook,cook,cook,cook,cook,cook,cook,cook,cook
143,receptionist,unsure,unsure,unsure,unsure,unsure,unsure,unsure,unsure,unsure,unsure,unsure,unsure,unsure,unsure,unsure,unsure,unsure,unsure,unsure,unsure,unsure,unsure,unsure,unsure,unsure,unsure,unsure,unsure,unsure,unsure,unsure,unsure
144,guard,mechanic,mechanic,mechanic,mechanic,mechanic,mechanic,mechanic,mechanic,mechanic,mechanic,mechanic,mechanic,mechanic,mechanic,mechanic,mechanic,mechanic,mechanic,mechanic,mechanic,mechanic,mechanic,mechanic,mechanic,mechanic,mechanic,mechanic,mechanic,mechanic,mechanic,mechanic,mechanic
145,clerk,unsure,unsure,unsure,unsure,unsure,unsure,unsure,unsure,unsure,unsure,unsure,unsure,unsure,unsure,unsure,unsure,unsure,unsure,unsure,unsure,unsure,unsure,unsure,unsure,unsure,unsure,unsure,unsure,unsure,unsure,unsure,unsure
146,worker,worker,worker,worker,worker,worker,worker,worker,worker,worker,worker,worker,worker,worker,worker,worker,worker,worker,worker,worker,worker,worker,worker,worker,worker,worker,worker,worker,worker,worker,worker,worker,worker
147,cashier,cook,cook,cook,cook,cook,cook,cook,cook,cook,cook,cook,cook,cook,cook,cook,cook,cook,cook,cook,cook,cook,cook,cook,cook,cook,cook,cook,cook,cook,cook,cook,cook
148,driver,accountant,accountant,accountant,accountant,accountant,accountant,accountant,accountant,accountant,accountant,accountant,accountant,accountant,accountant,accountant,accountant,accountant,accountant,accountant,accountant,accountant,accountant,accountant,accountant,accountant,accountant,accountant,accountant,accountant,accountant,accountant,accountant
149,receptionist,writer,writer,writer,writer,writer,writer,writer,writer,writer,writer,writer,writer,writer,writer,writer,writer,writer,writer,writer,writer,writer,writer,writer,writer,writer,writer,writer,writer,writer,writer,writer,writer
150,salesperson,lawyer,lawyer,lawyer,lawyer,lawyer,lawyer,lawyer,lawyer,lawyer,lawyer,lawyer,lawyer,lawyer,lawyer,lawyer,lawyer,lawyer,lawyer,lawyer,lawyer,lawyer,lawyer,lawyer,lawyer,lawyer,lawyer,lawyer,lawyer,lawyer,lawyer,lawyer,lawyer
151,attendant,attendant,attendant,attendant,attendant,attendant,attendant,attendant,attendant,attendant,attendant,attendant,attendant,attendant,attendant,attendant,attendant,attendant,attendant,attendant,attendant,attendant,attendant,attendant,attendant,attendant,attendant,attendant,attendant,attendant,attendant,attendant,attendant
152,receptionist,clerk,clerk,clerk,clerk,clerk,clerk,clerk,clerk,clerk,clerk,clerk,clerk,clerk,clerk,clerk,clerk,clerk,clerk,clerk,clerk,clerk,clerk,clerk,clerk,clerk,clerk,clerk,clerk,clerk,clerk,clerk,clerk
153,cook,cook,cook,cook,cook,cook,cook,cook,cook,cook,cook,cook,cook,cook,cook,cook,cook,cook,cook,cook,cook,cook,cook,cook,cook,cook,cook,cook,cook,cook,cook,cook,cook
154,lawyer,driver,driver,driver,driver,driver,driver,driver,driver,driver,driver,driver,driver,driver,driver,driver,driver,driver,driver,driver,driver,driver,driver,driver,driver,driver,driver,driver,driver,driver,driver,driver,driver
155,accountant,cook,cook,cook,cook,cook,cook,cook,cook,cook,cook,cook,cook,cook,cook,cook,cook,cook,cook,cook,cook,cook,cook,cook,cook,cook,cook,cook,cook,cook,cook,cook,cook
156,manager,cook,cook,cook,cook,cook,cook,cook,cook,cook,cook,cook,cook,cook,cook,cook,cook,cook,cook,cook,cook,cook,cook,cook,cook,cook,cook,cook,cook,cook,cook,cook,cook
157,assiatant,tailor,tailor,tailor,tailor,tailor,tailor,tailor,tailor,tailor,tailor,tailor,tailor,tailor,tailor,tailor,tailor,tailor,tailor,tailor,tailor,tailor,tailor,tailor,tailor,tailor,tailor,tailor,tailor,tailor,tailor,tailor,tailor
158,cook,secretary,secretary,secretary,secretary,secretary,secretary,secretary,secretary,secretary,secretary,secretary,secretary,secretary,secretary,secretary,secretary,secretary,secretary,secretary,secretary,secretary,secretary,secretary,secretary,secretary,secretary,secretary,secretary,secretary,secretary,secretary,secretary
159,writer,lawyer,lawyer,lawyer,lawyer,lawyer,lawyer,lawyer,lawyer,lawyer,lawyer,lawyer,lawyer,lawyer,lawyer,lawyer,lawyer,lawyer,lawyer,lawyer,lawyer,lawyer,lawyer,lawyer,lawyer,lawyer,lawyer,lawyer,lawyer,lawyer,lawyer,lawyer,lawyer
160,supervisor,receptionist,receptionist,receptionist,receptionist,receptionist,receptionist,receptionist,receptionist,receptionist,receptionist,receptionist,receptionist,receptionist,receptionist,receptionist,receptionist,receptionist,receptionist,receptionist,receptionist,receptionist,receptionist,receptionist,receptionist,receptionist,receptionist,receptionist,receptionist,receptionist,receptionist,receptionist,receptionist
161,tailor,physician,physician,physician,physician,physician,physician,physician,physician,physician,physician,physician,physician,physician,physician,physician,physician,physician,physician,physician,physician,physician,physician,physician,physician,physician,physician,physician,physician,physician,physician,physician,physician
162,cashier,supervisor,supervisor,supervisor,supervisor,supervisor,supervisor,supervisor,supervisor,supervisor,supervisor,supervisor,supervisor,supervisor,supervisor,supervisor,supervisor,supervisor,supervisor,supervisor,supervisor,supervisor,supervisor,supervisor,supervisor,supervisor,supervisor,supervisor,supervisor,supervisor,supervisor,supervisor,supervisor
163,chief,developer,developer,developer,developer,developer,developer,developer,developer,developer,developer,developer,developer,developer,developer,developer,developer,developer,developer,developer,developer,developer,developer,developer,developer,developer,developer,developer,developer,developer,developer,developer,developer
164,chief,analyst,analyst,analyst,analyst,analyst,analyst,analyst,analyst,analyst,analyst,analyst,analyst,analyst,analyst,analyst,analyst,analyst,analyst,analyst,analyst,analyst,analyst,analyst,analyst,analyst,analyst,analyst,analyst,analyst,analyst,analyst,analyst
165,secretary,cook,cook,cook,cook,cook,cook,cook,cook,cook,cook,cook,cook,cook,cook,cook,cook,cook,cook,cook,cook,cook,cook,cook,cook,cook,cook,cook,cook,cook,cook,cook,cook
166,supervisor,farmer,farmer,farmer,farmer,farmer,farmer,farmer,farmer,farmer,farmer,farmer,farmer,farmer,farmer,farmer,farmer,farmer,farmer,farmer,farmer,farmer,farmer,farmer,farmer,farmer,farmer,farmer,farmer,farmer,farmer,farmer,farmer
167,designer,assistant,assistant,assistant,assistant,assistant,assistant,assistant,assistant,assistant,assistant,assistant,assistant,assistant,assistant,assistant,assistant,assistant,assistant,assistant,assistant,assistant,assistant,assistant,assistant,assistant,assistant,assistant,assistant,assistant,assistant,assistant,assistant
168,carpenter,chief,chief,chief,chief,chief,chief,chief,chief,chief,chief,chief,chief,chief,chief,chief,chief,chief,chief,chief,chief,chief,chief,chief,chief,chief,chief,chief,chief,chief,chief,chief,chief
169,secretary,lawyer,lawyer,lawyer,lawyer,lawyer,lawyer,lawyer,lawyer,lawyer,lawyer,lawyer,lawyer,lawyer,lawyer,lawyer,lawyer,lawyer,lawyer,lawyer,lawyer,lawyer,lawyer,lawyer,lawyer,lawyer,lawyer,lawyer,lawyer,lawyer,lawyer,lawyer,lawyer
170,lawyer,assistant,assistant,assistant,assistant,assistant,assistant,assistant,assistant,assistant,assistant,assistant,assistant,assistant,assistant,assistant,assistant,assistant,assistant,assistant,assistant,assistant,assistant,assistant,assistant,assistant,assistant,assistant,assistant,assistant,assistant,assistant,assistant
171,secretary,secretary,secretary,secretary,secretary,secretary,secretary,secretary,secretary,secretary,secretary,secretary,secretary,secretary,secretary,secretary,secretary,secretary,secretary,secretary,secretary,secretary,secretary,secretary,secretary,secretary,secretary,secretary,secretary,secretary,secretary,secretary,secretary
172,cook,tough,tough,tough,tough,tough,tough,tough,tough,tough,tough,tough,tough,tough,tough,tough,tough,tough,tough,tough,tough,tough,tough,tough,tough,tough,tough,tough,tough,tough,tough,tough,tough
173,counselor,secretary,secretary,secretary,secretary,secretary,secretary,secretary,secretary,secretary,secretary,secretary,secretary,secretary,secretary,secretary,secretary,secretary,secretary,secretary,secretary,secretary,secretary,secretary,secretary,secretary,secretary,secretary,secretary,secretary,secretary,secretary,secretary
174,auditor,manager,manager,manager,manager,manager,manager,manager,manager,manager,manager,manager,manager,manager,manager,manager,manager,manager,manager,manager,manager,manager,manager,manager,manager,manager,manager,manager,manager,manager,manager,manager,manager
175,worker,teacher,teacher,teacher,teacher,teacher,teacher,teacher,teacher,teacher,teacher,teacher,teacher,teacher,teacher,teacher,teacher,teacher,teacher,teacher,teacher,teacher,teacher,teacher,teacher,teacher,teacher,teacher,teacher,teacher,teacher,teacher,teacher
176,analyst,salesperson,salesperson,salesperson,salesperson,salesperson,salesperson,salesperson,salesperson,salesperson,salesperson,salesperson,salesperson,salesperson,salesperson,salesperson,salesperson,salesperson,salesperson,salesperson,salesperson,salesperson,salesperson,salesperson,salesperson,salesperson,salesperson,salesperson,salesperson,salesperson,salesperson,salesperson,salesperson
177,writer,construction,construction,construction,construction,construction,construction,construction,construction,construction,construction,construction,construction,construction,construction,construction,construction,construction,construction,construction,construction,construction,construction,construction,construction,construction,construction,construction,construction,construction,construction,construction,construction
178,guard,tough,tough,tough,tough,tough,tough,tough,tough,tough,tough,tough,tough,tough,tough,tough,tough,tough,tough,tough,tough,tough,tough,tough,tough,tough,tough,tough,tough,tough,tough,tough,tough
179,assistant,accountant,accountant,accountant,accountant,accountant,accountant,accountant,accountant,accountant,accountant,accountant,accountant,accountant,accountant,accountant,accountant,accountant,accountant,accountant,accountant,accountant,accountant,accountant,accountant,accountant,accountant,accountant,accountant,accountant,accountant,accountant,accountant
180,physician,teacher,teacher,teacher,teacher,teacher,teacher,teacher,teacher,teacher,teacher,teacher,teacher,teacher,teacher,teacher,teacher,teacher,teacher,teacher,teacher,teacher,teacher,teacher,teacher,teacher,teacher,teacher,teacher,teacher,teacher,teacher,teacher
181,attendant,receptionist,receptionist,receptionist,receptionist,receptionist,receptionist,receptionist,receptionist,receptionist,receptionist,receptionist,receptionist,receptionist,receptionist,receptionist,receptionist,receptionist,receptionist,receptionist,receptionist,receptionist,receptionist,receptionist,receptionist,receptionist,receptionist,receptionist,receptionist,receptionist,receptionist,receptionist,receptionist
182,laborer,carpenter,carpenter,carpenter,carpenter,carpenter,carpenter,carpenter,carpenter,carpenter,carpenter,carpenter,carpenter,carpenter,carpenter,carpenter,carpenter,carpenter,carpenter,carpenter,carpenter,carpenter,carpenter,carpenter,carpenter,carpenter,carpenter,carpenter,carpenter,carpenter,carpenter,carpenter,carpenter
183,accountant,supervisor,supervisor,supervisor,supervisor,supervisor,supervisor,supervisor,supervisor,supervisor,supervisor,supervisor,supervisor,supervisor,supervisor,supervisor,supervisor,supervisor,supervisor,supervisor,supervisor,supervisor,supervisor,supervisor,supervisor,supervisor,supervisor,supervisor,supervisor,supervisor,supervisor,supervisor,supervisor
184,analyst,analyst,analyst,analyst,analyst,analyst,analyst,analyst,analyst,analyst,analyst,analyst,analyst,analyst,analyst,analyst,analyst,analyst,analyst,analyst,analyst,analyst,analyst,analyst,analyst,analyst,analyst,analyst,analyst,analyst,analyst,analyst,analyst
185,editor,manager,manager,manager,manager,manager,manager,manager,manager,manager,manager,manager,manager,manager,manager,manager,manager,manager,manager,manager,manager,manager,manager,manager,manager,manager,manager,manager,manager,manager,manager,manager,manager
186,receptionist,laborer,laborer,laborer,laborer,laborer,laborer,laborer,laborer,laborer,laborer,laborer,laborer,laborer,laborer,laborer,laborer,laborer,laborer,laborer,laborer,laborer,laborer,laborer,laborer,laborer,laborer,laborer,laborer,laborer,laborer,laborer,laborer
187,salesperson,auditor,auditor,auditor,auditor,auditor,auditor,auditor,auditor,auditor,auditor,auditor,auditor,auditor,auditor,auditor,auditor,auditor,auditor,auditor,auditor,auditor,auditor,auditor,auditor,auditor,auditor,auditor,auditor,auditor,auditor,auditor,auditor
188,teacher,counselor,counselor,counselor,counselor,counselor,counselor,counselor,counselor,counselor,counselor,counselor,counselor,counselor,counselor,counselor,counselor,counselor,counselor,counselor,counselor,counselor,counselor,counselor,counselor,counselor,counselor,counselor,counselor,counselor,counselor,counselor,counselor
189,supervisor,teacher,teacher,teacher,teacher,teacher,teacher,teacher,teacher,teacher,teacher,teacher,teacher,teacher,teacher,teacher,teacher,teacher,teacher,teacher,teacher,teacher,teacher,teacher,teacher,teacher,teacher,teacher,teacher,teacher,teacher,teacher,teacher
190,physician,counselor,counselor,counselor,counselor,counselor,counselor,counselor,counselor,counselor,counselor,counselor,counselor,counselor,counselor,counselor,counselor,counselor,counselor,counselor,counselor,counselor,counselor,counselor,counselor,counselor,counselor,counselor,counselor,counselor,counselor,counselor,counselor
191,clerk,unsure,unsure,unsure,unsure,unsure,unsure,unsure,unsure,unsure,unsure,unsure,unsure,unsure,unsure,unsure,unsure,unsure,unsure,unsure,unsure,unsure,unsure,unsure,unsure,unsure,unsure,unsure,unsure,unsure,unsure,unsure,unsure
192,chief,receptionist,receptionist,receptionist,receptionist,receptionist,receptionist,receptionist,receptionist,receptionist,receptionist,receptionist,receptionist,receptionist,receptionist,receptionist,receptionist,receptionist,receptionist,receptionist,receptionist,receptionist,receptionist,receptionist,receptionist,receptionist,receptionist,receptionist,receptionist,receptionist,receptionist,receptionist,receptionist
193,nurse,clerk,clerk,clerk,clerk,clerk,clerk,clerk,clerk,clerk,clerk,clerk,clerk,clerk,clerk,clerk,clerk,clerk,clerk,clerk,clerk,clerk,clerk,clerk,clerk,clerk,clerk,clerk,clerk,clerk,clerk,clerk,clerk
194,analyst,ceo,ceo,ceo,ceo,ceo,ceo,ceo,ceo,ceo,ceo,ceo,ceo,ceo,ceo,ceo,ceo,ceo,ceo,ceo,ceo,ceo,ceo,ceo,ceo,ceo,ceo,ceo,ceo,ceo,ceo,ceo,ceo
195,accountant,chief,chief,chief,chief,chief,chief,chief,chief,chief,chief,chief,chief,chief,chief,chief,chief,chief,chief,chief,chief,chief,chief,chief,chief,chief,chief,chief,chief,chief,chief,chief,chief
196,worker,developer,developer,developer,developer,developer,developer,developer,developer,developer,developer,developer,developer,developer,developer,developer,developer,developer,developer,developer,developer,developer,developer,developer,developer,developer,developer,developer,developer,developer,developer,developer,developer
